Date,Close
1961-12-26,7.466667
1962-01-02,7.52
1962-01-09,7.38
1962-01-16,7.216667
1962-01-23,7.44
1962-01-30,7.42
1962-02-06,7.26
1962-02-13,7.16
1962-02-20,7.306667
1962-02-27,7.373333000000001
1962-03-06,7.366667
1962-03-13,7.293334
1962-03-20,7.103333
1962-03-27,6.94
1962-04-03,6.906667
1962-04-10,6.92
1962-04-17,6.473333
1962-04-24,6.48
1962-05-01,5.946667
1962-05-08,6.02
1962-05-15,5.313333999999999
1962-05-22,5.133333
1962-05-29,4.95
1962-06-05,4.446667
1962-06-12,4.266667
1962-06-19,4.523333999999999
1962-06-26,4.6
1962-07-03,5.016667
1962-07-10,4.96
1962-07-17,5.011667
1962-07-24,5.133333
1962-07-31,5.01
1962-08-07,5.193333
1962-08-14,5.453333
1962-08-21,5.283333
1962-08-28,5.096667
1962-09-04,5.176667
1962-09-11,5.023333999999999
1962-09-18,4.713333
1962-09-25,4.803333
1962-10-02,4.736667
1962-10-09,4.641667
1962-10-16,4.42
1962-10-23,4.763333
1962-10-30,4.816667
1962-11-06,5.046667
1962-11-13,5.173333
1962-11-20,5.313333999999999
1962-11-27,5.3
1962-12-04,5.193333
1962-12-11,5.136667
1962-12-18,5.233333
1962-12-25,5.293334
1963-01-01,5.436666000000001
1963-01-08,5.5
1963-01-15,5.58
1963-01-22,5.65
1963-01-29,5.6
1963-02-05,5.5833330000000005
1963-02-12,5.47
1963-02-19,5.296667
1963-02-26,5.446667
1963-03-05,5.51
1963-03-12,5.523333999999999
1963-03-19,5.613333
1963-03-26,5.893333
1963-04-02,5.95
1963-04-09,6.0
1963-04-16,6.266667
1963-04-23,6.206666
1963-04-30,6.3333330000000005
1963-05-07,6.226666000000001
1963-05-14,6.173333
1963-05-21,6.363333
1963-05-28,6.243333
1963-06-04,6.176667
1963-06-11,6.073333
1963-06-18,5.816667
1963-06-25,5.933333
1963-07-02,5.753334
1963-07-09,5.723333
1963-07-16,5.753334
1963-07-23,5.76
1963-07-30,5.913333000000001
1963-08-06,6.033333
1963-08-13,5.98
1963-08-20,5.93
1963-08-27,6.113333
1963-09-03,6.073333
1963-09-10,6.086666999999999
1963-09-17,5.98
1963-09-24,6.153333
1963-10-01,6.253334
1963-10-08,6.596667
1963-10-15,6.58
1963-10-22,6.513333
1963-10-29,6.46
1963-11-05,6.466667
1963-11-12,6.203333
1963-11-19,6.47
1963-11-26,6.46
1963-12-03,6.336666999999999
1963-12-10,6.446667
1963-12-17,6.58
1963-12-24,6.8
1963-12-31,7.106667
1964-01-07,7.373333000000001
1964-01-14,7.28
1964-01-21,7.226666000000001
1964-01-28,7.16
1964-02-04,7.406667
1964-02-11,7.406667
1964-02-18,7.586666999999999
1964-02-25,7.573333
1964-03-03,7.846667
1964-03-10,7.66
1964-03-17,7.846667
1964-03-24,7.98
1964-03-31,7.956666
1964-04-07,7.806667
1964-04-14,7.773333999999999
1964-04-21,7.726666000000001
1964-04-28,7.793334
1964-05-05,7.8333330000000005
1964-05-12,8.183333
1964-05-19,8.0
1964-05-26,7.733333
1964-06-02,7.875
1964-06-09,7.991667
1964-06-16,7.966667
1964-06-23,8.066667
1964-06-30,8.041667
1964-07-07,7.983333
1964-07-14,7.7291669999999995
1964-07-21,7.7
1964-07-28,7.483333
1964-08-04,7.45
1964-08-11,7.316667
1964-08-18,7.295833
1964-08-25,7.402083
1964-09-01,7.0875
1964-09-08,7.091667
1964-09-15,7.3125
1964-09-22,7.216667
1964-09-29,7.183333
1964-10-06,7.183333
1964-10-13,7.022917
1964-10-20,7.0
1964-10-27,6.975
1964-11-03,7.1041669999999995
1964-11-10,7.095833
1964-11-17,6.941667
1964-11-24,6.95
1964-12-01,6.8875
1964-12-08,6.9166669999999995
1964-12-15,6.891667
1964-12-22,6.825
1964-12-29,7.0833330000000005
1965-01-05,7.245833
1965-01-12,7.445833
1965-01-19,7.475
1965-01-26,7.425
1965-02-02,7.347917
1965-02-09,7.4583330000000005
1965-02-16,7.595833
