,Date,Close,Adj Close,Predictions
8209,2012-09-27,23.09,18.07885,23.161272
8210,2012-09-28,22.66,17.74217,23.59521
8211,2012-10-01,22.76,17.820469,23.164984
8212,2012-10-02,22.84,17.883108,23.275002
8213,2012-10-03,22.549999,17.656048000000002,23.365149
8214,2012-10-04,22.469998999999998,17.593409,23.063786
8215,2012-10-05,22.68,17.757837,22.988888
8216,2012-10-08,22.51,17.624727,23.200092
8217,2012-10-09,21.9,17.147118,23.022795
8218,2012-10-10,21.76,17.037498,22.411077
8219,2012-10-11,21.68,16.974857,22.272575
8220,2012-10-12,21.48,16.818266,22.177048
8221,2012-10-15,21.73,17.014008999999998,21.959509
8222,2012-10-16,22.35,17.499449,22.208645
8223,2012-10-17,21.790001,17.060986,22.829468
8224,2012-10-18,21.67,16.967028,22.273014
8225,2012-10-19,21.27,16.653847,22.169584
8226,2012-10-22,21.459999,16.802607000000002,21.774734
8227,2012-10-23,21.59,16.904398,21.947
8228,2012-10-24,21.459999,16.802607000000002,22.071413
8229,2012-10-25,21.690001000000002,16.982687,21.938519
8230,2012-10-26,21.950001,17.186266,22.17883
8231,2012-10-31,21.629998999999998,16.935703,22.443724
8232,2012-11-01,22.26,17.428982,22.126143
8233,2012-11-02,22.059998999999998,17.272389999999998,22.770065
8234,2012-11-05,21.84,17.276346,22.575731
8235,2012-11-06,21.73,17.189327,22.355711
8236,2012-11-07,20.91,16.540672,22.25898
8237,2012-11-08,20.83,16.477388,21.423342
8238,2012-11-09,20.799999,16.453659,21.333918
8239,2012-11-12,20.77,16.42993,21.284533
8240,2012-11-13,20.280001000000002,16.042324,21.233149
8241,2012-11-14,19.959999,15.789183,20.742186
8242,2012-11-15,20.030001000000002,15.844560999999999,20.421202
8243,2012-11-16,20.190001000000002,15.971124,20.478724
8244,2012-11-19,20.25,16.018593,20.62115
8245,2012-11-20,19.51,15.43322,20.679823
8246,2012-11-21,19.360001,15.314561,19.948484
8247,2012-11-23,19.719998999999998,15.599333999999999,19.807024
8248,2012-11-26,19.889999,15.733812,20.14867
8249,2012-11-27,19.93,15.765457999999999,20.301949
8250,2012-11-28,20.09,15.892017999999998,20.354366
8251,2012-11-29,19.530001000000002,15.449042000000002,20.530525
8252,2012-11-30,19.57,15.480681,19.977488
8253,2012-12-03,19.540001,15.456947,20.025705
8254,2012-12-04,19.969998999999998,15.797099,19.98586
8255,2012-12-05,19.85,15.702174,20.406643
8256,2012-12-06,20.16,15.947392,20.290956
8257,2012-12-07,20.16,15.947392,20.614256
8258,2012-12-10,20.08,15.884109,20.622593
8259,2012-12-11,20.65,16.335010999999998,20.549116
8260,2012-12-12,20.67,16.350824,21.127419
8261,2012-12-13,20.49,16.208439000000002,21.148218
8262,2012-12-14,20.530001000000002,16.24008,20.980646
8263,2012-12-17,20.57,16.271721,21.034374
8264,2012-12-18,20.959999,16.580229,21.068903
8265,2012-12-19,21.1,16.690969,21.455856
8266,2012-12-20,21.030001000000002,16.635603,21.59997
8267,2012-12-21,20.77,16.42993,21.539078
8268,2012-12-24,20.639999,16.327092999999998,21.28875
8269,2012-12-26,20.65,16.335010999999998,21.156967
8270,2012-12-27,20.51,16.224258,21.156897
8271,2012-12-28,20.23,16.002762,21.006163
8272,2012-12-31,20.620001000000002,16.311272,20.721619
8273,2013-01-02,21.379998999999998,16.912461999999998,21.107075
8274,2013-01-03,21.32,16.865005,21.857946
8275,2013-01-04,21.16,16.738429999999997,21.805073
8276,2013-01-07,21.25,16.809632999999998,21.669748
8277,2013-01-08,21.09,16.683065,21.774773
8278,2013-01-09,21.450001,16.96784,21.606478
8279,2013-01-10,21.799999,17.244699,21.964392
8280,2013-01-11,22.0,17.402908,22.31645
8281,2013-01-14,22.0,17.402908,22.521635
8282,2013-01-15,21.879998999999998,17.307989000000003,22.53756
8283,2013-01-16,22.110001,17.489925,22.426802
8284,2013-01-17,22.68,17.940819,22.6593
8285,2013-01-18,21.25,16.809632999999998,23.229656
8286,2013-01-22,21.17,16.746346,21.791258
8287,2013-01-23,21.110001,16.698887,21.720541
8288,2013-01-24,20.950001,16.572315,21.64402
8289,2013-01-25,20.959999,16.580229,21.441298
8290,2013-01-28,21.049999,16.651423,21.450098
8291,2013-01-29,21.280001000000002,16.833357,21.534801
8292,2013-01-30,21.370001000000002,16.904556,21.760427
8293,2013-01-31,21.040001,16.643515,21.854599
8294,2013-02-01,21.360001,16.896641,21.530897
8295,2013-02-04,21.16,16.738429999999997,21.858137
8296,2013-02-05,21.18,16.934326000000002,21.654022
8297,2013-02-06,20.99,16.782412,21.672314
8298,2013-02-07,20.809998999999998,16.638491000000002,21.486921
8299,2013-02-08,21.0,16.790403,21.30092
8300,2013-02-11,21.030001000000002,16.814396,21.48784
8301,2013-02-12,21.190001000000002,16.942316,21.510902
8302,2013-02-13,21.25,16.990294,21.67247
8303,2013-02-14,21.23,16.9743,21.739918
