Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SBIN,N2,01-10-20,10833.23,10830,10855,10820,10839,10839,10829.67,390,4223572.37,42,363,93.08
SBIN,N5,01-10-20,11079.63,11080,11114.99,10615,11085,11083.18,11065.93,604,6683824.59,75,591,97.85
SBIN,N6,01-10-20,10990,10990,11280,10990,10990,10990,11046.92,13,143610,6,9,69.23
SBIN,EQ,05-10-20,190.3,192,193.8,187.05,189.45,188.75,190.39,41694812,7938296341,184563,4440433,10.65
SBIN,N2,05-10-20,10839,10839,10850,10749,10750,10752.98,10795.4,819,8841430,156,762,93.04
SBIN,N5,05-10-20,11083.18,11083.35,11090,10982,10982.01,11012.3,11042.28,1062,11726898.15,204,1001,94.26
SBIN,EQ,06-10-20,188.75,191.1,192.1,188.3,191.7,191.6,190.22,31098807,5915542215,161429,3397274,10.92
SBIN,N2,06-10-20,10752.98,10752,10752,10705.35,10705.35,10714.55,10725.18,502,5384040.76,136,489,97.41
SBIN,N5,06-10-20,11012.3,11014,11018.99,10900,10917.01,10919.25,10928.17,1387,15157364.93,261,1133,81.69
SBIN,N6,06-10-20,10990,10704,10800,10703,10742,10742,10744.48,50,537224,8,34,68
SBIN,EQ,07-10-20,191.6,192.55,193.15,189.1,190.95,190.7,190.96,34578821,6603011330,150721,3793581,10.97
SBIN,N2,07-10-20,10714.55,10740,10740,10720,10730,10731.22,10730,238,2553739.55,36,238,100
SBIN,N5,07-10-20,10919.25,10930,10974,10928,10937.2,10944.08,10945.18,572,6260641.4,104,525,91.78
SBIN,N6,07-10-20,10742,10800,10800,10800,10800,10800,10800,1,10800,1,1,100
SBIN,EQ,08-10-20,190.7,191.35,195.8,190.55,191.6,191.5,193.41,43351954,8384655371,203970,8628169,19.9
SBIN,N2,08-10-20,10731.22,10745.9,10745.9,10675,10700,10707.33,10702.36,600,6421418.14,128,574,95.67
SBIN,N5,08-10-20,10944.08,10950,10975,10950,10954.15,10965.6,10961.31,485,5316236.03,82,455,93.81
SBIN,N6,08-10-20,10800,10800,10800,10800,10800,10800,10800,9,97200,2,9,100
SBIN,EQ,09-10-20,191.5,192,198.8,190.55,198.55,198.3,195.31,64908374,12677573594,277207,15862157,24.44
SBIN,N2,09-10-20,10707.33,10671.25,10745,10655,10709,10707.77,10703.35,447,4784395.99,84,415,92.84
SBIN,N5,09-10-20,10965.6,10950,10966,10940,10940,10942.47,10957.36,445,4876024.11,77,443,99.55
