"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GAIL","EQ","28-Aug-2019","        130.20","        130.80","        133.60","        127.50","        127.85","        128.05","        130.24","   11370702","          1480897066.70","      96484","    6092470","         53.58"
"GAIL","EQ","29-Aug-2019","        128.05","        127.15","        129.40","        126.50","        129.10","        128.50","        127.99","    6168273","           789495184.45","      45285","    3233190","         52.42"
"GAIL","EQ","30-Aug-2019","        128.50","        129.65","        133.10","        125.20","        130.05","        129.80","        129.57","   12497894","          1619304111.50","      71269","    5249523","         42.00"
"GAIL","EQ","03-Sep-2019","        129.80","        128.55","        130.45","        126.05","        127.05","        126.80","        128.29","    6691666","           858505124.05","      98620","    3167280","         47.33"
"GAIL","EQ","04-Sep-2019","        126.80","        127.00","        129.65","        125.05","        127.50","        127.30","        126.64","    8230717","          1042333072.95","      93694","    3701875","         44.98"
"GAIL","EQ","05-Sep-2019","        127.30","        126.10","        132.25","        126.00","        131.00","        130.95","        130.61","    9761289","          1274956447.70","     125415","    3652652","         37.42"
"GAIL","EQ","06-Sep-2019","        130.95","        131.70","        132.05","        129.25","        131.35","        131.35","        130.83","    6405463","           838036640.30","      55757","    2498408","         39.00"
"GAIL","EQ","09-Sep-2019","        131.35","        131.65","        132.70","        130.20","        132.40","        132.15","        131.72","    4417454","           581875595.75","      57239","    1842054","         41.70"
"GAIL","EQ","11-Sep-2019","        132.15","        130.30","        132.00","        128.15","        128.45","        128.45","        130.06","   12366789","          1608447498.50","      82736","    7061779","         57.10"
"GAIL","EQ","12-Sep-2019","        128.45","        129.35","        129.70","        125.40","        125.45","        125.75","        127.20","    6009170","           764387635.45","      55723","    2440778","         40.62"
"GAIL","EQ","13-Sep-2019","        125.75","        125.75","        129.95","        123.65","        129.35","        129.25","        126.91","    8372793","          1062604530.05","      77230","    2950501","         35.24"
